2025-06-03 12:28:12,517 - ERROR - WebSocket error: Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:12 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=whqvNeUPEzX412_8t5xAkQVV1_A9s4N_gyK2HyMNBb8-1748933892-1.0.1.1-SyHJm_MGZNc7hGziTusMk6LRQjXXzaP4IoB_u6FjLV.4r82HWYPg9N8vtbRp_hQwDF1ukkiqEooXb5GoTfxtGdcr7mV6IvWHXA5iIvJ7XPE; path=/; expires=Tue, 03-Jun-25 07:28:12 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=V3KFXuArhNkY6M5pgs28LZmLaKlsN8xTsZWCnJ6oxDM-1748933892509-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4cdf4895470e-BOM'} -+-+- b''
2025-06-03 12:28:12,519 - ERROR - Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:12 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=whqvNeUPEzX412_8t5xAkQVV1_A9s4N_gyK2HyMNBb8-1748933892-1.0.1.1-SyHJm_MGZNc7hGziTusMk6LRQjXXzaP4IoB_u6FjLV.4r82HWYPg9N8vtbRp_hQwDF1ukkiqEooXb5GoTfxtGdcr7mV6IvWHXA5iIvJ7XPE; path=/; expires=Tue, 03-Jun-25 07:28:12 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=V3KFXuArhNkY6M5pgs28LZmLaKlsN8xTsZWCnJ6oxDM-1748933892509-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4cdf4895470e-BOM'} -+-+- b'' - goodbye
2025-06-03 12:28:19,364 - ERROR - WebSocket error: Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:19 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=R0iEmoiwtfDY7SEfP7L7pzm1_crcu3Y6b4OO9qFyOQA-1748933899-1.0.1.1-PDZVmTn0UTetcijePBslLQuroYoyn3ikpZmPAuhm78QTDihVIZCD9r2LcWQYzSBl.kTmQSueBZDtEGp81rvAxtYDiDiplxwf56kg33fcKVk; path=/; expires=Tue, 03-Jun-25 07:28:19 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=di6JSAXD_0oHhIJTt2TO3e_whmSxeMA2A5a7HG.7Evg-1748933899338-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4d1c0dad4725-BOM'} -+-+- b''
2025-06-03 12:28:19,366 - ERROR - Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:19 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=R0iEmoiwtfDY7SEfP7L7pzm1_crcu3Y6b4OO9qFyOQA-1748933899-1.0.1.1-PDZVmTn0UTetcijePBslLQuroYoyn3ikpZmPAuhm78QTDihVIZCD9r2LcWQYzSBl.kTmQSueBZDtEGp81rvAxtYDiDiplxwf56kg33fcKVk; path=/; expires=Tue, 03-Jun-25 07:28:19 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=di6JSAXD_0oHhIJTt2TO3e_whmSxeMA2A5a7HG.7Evg-1748933899338-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4d1c0dad4725-BOM'} -+-+- b'' - goodbye
2025-06-03 12:28:25,188 - ERROR - WebSocket error: Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:25 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=8EQJNmA9NmoaM2rRpndOEZ65qbQrAu5cYzYdZCPy_50-1748933905-1.0.1.1-1.f1hMI_IdFsYGJNBq1B6I5JEE0ne.YNliznS2x9S3_Bv8h8Pa.0Zs.OG5qDbVJ78.ERWIPGYa5tI6stYS8NOvBG0YqRZv.47Ch2vItzKgg; path=/; expires=Tue, 03-Jun-25 07:28:25 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=vrkzFLYXxoDCWexn6rmOfSiKucCL63kxSJWSOtj.amM-1748933905177-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4d46cf604853-BOM'} -+-+- b''
2025-06-03 12:28:25,189 - ERROR - Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:25 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=8EQJNmA9NmoaM2rRpndOEZ65qbQrAu5cYzYdZCPy_50-1748933905-1.0.1.1-1.f1hMI_IdFsYGJNBq1B6I5JEE0ne.YNliznS2x9S3_Bv8h8Pa.0Zs.OG5qDbVJ78.ERWIPGYa5tI6stYS8NOvBG0YqRZv.47Ch2vItzKgg; path=/; expires=Tue, 03-Jun-25 07:28:25 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=vrkzFLYXxoDCWexn6rmOfSiKucCL63kxSJWSOtj.amM-1748933905177-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4d46cf604853-BOM'} -+-+- b'' - goodbye
2025-06-03 12:28:31,024 - ERROR - WebSocket error: Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:31 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=hNXN6ePNn42q0vgFaDh4vhiz_7jgFEtQWzVwEnzL00E-1748933911-1.0.1.1-JQ8DiC2Tp8TMCbWLqKBxcSRFEZrxbXUKA7BYI8PPc4BZwkRKdwj8M.pqz4Fg1lF3y7rBO1rDz_750PLs5IBOqxeOd0QHq55tTUKJyGuaPIU; path=/; expires=Tue, 03-Jun-25 07:28:31 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=jJ87UC90pNSOT4Os4CVkcbijAaWyQNuUbNVH9ZZK37w-1748933911005-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4d6b098f84a1-BOM'} -+-+- b''
2025-06-03 12:28:31,025 - ERROR - Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:31 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=hNXN6ePNn42q0vgFaDh4vhiz_7jgFEtQWzVwEnzL00E-1748933911-1.0.1.1-JQ8DiC2Tp8TMCbWLqKBxcSRFEZrxbXUKA7BYI8PPc4BZwkRKdwj8M.pqz4Fg1lF3y7rBO1rDz_750PLs5IBOqxeOd0QHq55tTUKJyGuaPIU; path=/; expires=Tue, 03-Jun-25 07:28:31 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=jJ87UC90pNSOT4Os4CVkcbijAaWyQNuUbNVH9ZZK37w-1748933911005-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4d6b098f84a1-BOM'} -+-+- b'' - goodbye
2025-06-03 12:28:36,185 - ERROR - WebSocket error: Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:36 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=.ximbXAT9vUQgYXkjCPKZsgwUlasHlu288dZ7S5rcpk-1748933916-1.0.1.1-EpqGacIrRM_.Ii_TGoIiYAx5r73WGs5rrUuCDxa.0c0T9Qu48Mr.DTkYKlShw_hwAtb7oBOzxg_1Tln1J6ltnMMrwvDs9hge2rwqZ_R0O_c; path=/; expires=Tue, 03-Jun-25 07:28:36 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=242RrkyLzY1.D6QQXF.jExkxOcUKBIzRZLVyRWFGKpU-1748933916172-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4d8f8cb46ee9-BOM'} -+-+- b''
2025-06-03 12:28:36,186 - ERROR - Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:36 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=.ximbXAT9vUQgYXkjCPKZsgwUlasHlu288dZ7S5rcpk-1748933916-1.0.1.1-EpqGacIrRM_.Ii_TGoIiYAx5r73WGs5rrUuCDxa.0c0T9Qu48Mr.DTkYKlShw_hwAtb7oBOzxg_1Tln1J6ltnMMrwvDs9hge2rwqZ_R0O_c; path=/; expires=Tue, 03-Jun-25 07:28:36 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=242RrkyLzY1.D6QQXF.jExkxOcUKBIzRZLVyRWFGKpU-1748933916172-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4d8f8cb46ee9-BOM'} -+-+- b'' - goodbye
2025-06-03 12:28:41,374 - ERROR - WebSocket error: Handshake status 429 Too Many Requests -+-+- {'date': 'Tue, 03 Jun 2025 06:58:41 GMT', 'content-length': '0', 'connection': 'keep-alive', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=8L4dEOzhxUeuSkSkNkvsfykjHaPPQ7oEeA8Z.sWC92Q-1748933921-1.0.1.1-Y4SfkOsTbVCg.mAp.8qSHRTrnMcyocVbP3mEiOAtQ4bzaIM0a.0bbrH3_9qAlJTla2biIQLGmZ89XR4QAHGELgdY.o.IUMmTyOIpmaSRdBI; path=/; expires=Tue, 03-Jun-25 07:28:41 GMT; domain=.fyers.in; HttpOnly; Secure; _cfuvid=Ugtkmw6jLP29rfe9jvVPp9NU4C5.h7TuK1LSzBuq40k-1748933921368-0.0.1.1-604800000; path=/; domain=.fyers.in; HttpOnly; Secure; SameSite=None', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '949d4daffa134907-BOM'} -+-+- b''
